CO,Sublanço,kms,No_1,No_2
Carcavelos,Viaduto Duarte Pacheco - Cruz das Oliveiras,1.466,Viaduto Duarte Pacheco,Cruz das Oliveiras
Carcavelos,Cruz das Oliveiras - Monsanto,1.484,Cruz das Oliveiras,Monsanto
Carcavelos,Monsanto - Miraflores (A5/IC17),0.972,Monsanto,Miraflores (A5/IC17)
Carcavelos,Miraflores (A5/IC17) - Linda-a-Velha,1.43,Miraflores (A5/IC17),Linda-a-Velha
Carcavelos,Linda-a-Velha - Estádio Nacional (A5/A9),2.688,Linda-a-Velha,Estádio Nacional (A5/A9)
Carcavelos,Estádio Nacional (A5/A9) - Oeiras,3.523,Estádio Nacional (A5/A9),Oeiras
Carcavelos,Oeiras - Carcavelos,3.377,Oeiras,Carcavelos
Carcavelos,Carcavelos - Estoril,4.86,Carcavelos,Estoril
Carcavelos,Estoril - Alcabideche (A5/A16),3,Estoril,Alcabideche (A5/A16)
Carcavelos,Alcabideche (A5/A16) - Alvide,0.55,Alcabideche (A5/A16),Alvide
Carcavelos,Alvide - Cascais,1.65,Alvide,Cascais
Feira,Albergaria (A1/IP5) - Estarreja,10.428,Albergaria (A1/IP5),Estarreja
Feira,Estarreja - Feira,16.832,Estarreja,Feira
Feira,Feira - Espinho (IC24),9.8,Feira,Espinho (IC24)
Feira,Espinho (IC24) - Feiteira,3.92,Espinho (IC24),Feiteira
Feira,Feiteira - Carvalhos,3.37,Feiteira,Carvalhos
Feira,Carvalhos - Jaca,2.745,Carvalhos,Jaca
Feira,Jaca - Santo Ovídio,1.839,Jaca,Santo Ovídio
Mealhada,Coimbra Sul - Coimbra Norte (A1/A14),8.303,Coimbra Sul,Coimbra Norte (A1/A14)
Mealhada,Coimbra Norte (A1/A14) - Mealhada,11.707,Coimbra Norte (A1/A14),Mealhada
Mealhada,Mealhada - Aveiro Sul,23.633,Mealhada,Aveiro Sul
Mealhada,Aveiro Sul - Albergaria (A1/IP5),14.78,Aveiro Sul,Albergaria (A1/IP5)
Carregado,Sacavém - São João da Talha,3.85,Sacavém,São João da Talha
Carregado,São João da Talha - Sta Iria da Azóia,2.95,São João da Talha,Sta Iria da Azóia
Carregado,Sta Iria da Azóia - Alverca (A1/A9),6.24,Sta Iria da Azóia,Alverca (A1/A9)
Carregado,Alverca (A1/A9) - Vila Franca de Xira II,7.46,Alverca (A1/A9),Vila Franca de Xira II
Carregado,Vila Franca de Xira II - Vila Franca de Xira I,3.4,Vila Franca de Xira II,Vila Franca de Xira I
Carregado,Vila Franca de Xira I - PLLN,3.975,Vila Franca de Xira I,PLLN
Carregado,PLLN - A1/A10,1.225,PLLN,A1/A10
Carregado,A1/A10 - Carregado,0.868,A1/A10,Carregado
Carregado,Carregado - Aveiras de Cima,15.516,Carregado,Aveiras de Cima
Carregado,Aveiras de Cima - Cartaxo,11.286,Aveiras de Cima,Cartaxo
Carregado,Cartaxo - Santarém,8.08,Cartaxo,Santarém
Leiria,Santarém - A1/A15,1.185,Santarém,A1/A15
Leiria,A1/A15 - Torres Novas (A1/A23),27.015,A1/A15,Torres Novas (A1/A23)
Leiria,Torres Novas (A1/A23) - Fátima,20.325,Torres Novas (A1/A23),Fátima
Leiria,Fátima - Leiria,15.235,Fátima,Leiria
Leiria,Leiria - Pombal,24.065,Leiria,Pombal
Leiria,Pombal - Soure,14.736,Pombal,Soure
Leiria,Soure - Condeixa,13.045,Soure,Condeixa
Leiria,Condeixa - Coimbra Sul,7.681,Condeixa,Coimbra Sul
A14,Figueira da Foz - Vila Verde,3.2,Figueira da Foz,Vila Verde
A14,Vila Verde - A14/A17,1.6,Vila Verde,A14/A17
A14,A14/A17 - Santa Eulália,7.2,A14/A17,Santa Eulália
A14,Santa Eulália - Montemor-o-Velho,4.8,Santa Eulália,Montemor-o-Velho
A14,Montemor-o-Velho - EN335,8,Montemor-o-Velho,EN 335
A14,EN335 - Ançã,9.6,EN 335,Ançã
A14,Ançã - Coimbra Norte (A1/A14),4.4,Ançã,Coimbra Norte (A1/A14)
A14,Coimbra Norte (A1/A14) - Zombaria,1.1,Coimbra Norte (A1/A14),Zombaria
A10,A9/A10 - Arruda dos Vinhos,6.9,A9/A10,Arruda dos Vinhos
A10,Arruda dos Vinhos - A1/A10,11,Arruda dos Vinhos,A1/A10
A10,A1/A10 - Benavente,14.5,A1/A10,Benavente
A10,Benavente - A10/A13,7.4,Benavente,A10/A13
A9,Estádio Nacional (A5/A9) - Queluz,3.4,Estádio Nacional (A5/A9),Queluz
A9,Queluz - Radial da Pontinha,6,Queluz,Radial da Pontinha
A9,Radial Pontinha - Radial Odivelas,6.8,Radial da Pontinha,Radial de Odivelas
A9,Radial Odivelas - A8/A9,3.5,Radial de Odivelas,A8/A9
A9,A8/A9 - Bucelas (Zambujal),3.4,A8/A9,Bucelas (Zambujal)
A9,Bucelas (Zambujal) - A9/A10,8.3,Bucelas (Zambujal),A9/A10
A9,A9/A10 - Alverca,3,A9/A10,Alverca
