Sublanço,Hora
Estarreja - Feira,15
Estarreja - Feira,16
Estarreja - Feira,18
Estarreja - Feira,10
Estarreja - Feira,13
Estarreja - Feira,11
Estarreja - Feira,12
Estarreja - Feira,17
Feira-Espinho (IC24),14
Feira-Espinho (IC24),16
Feira-Espinho (IC24),10
Estarreja - Feira,19
Estarreja - Feira,20
Feira-Espinho (IC24),18
Feiteira-Carvalhos,17
Feira-Espinho (IC24),17
Estarreja - Feira,8
Feira-Espinho (IC24),20
Espinho (IC24)-Feiteira,11
Feira-Espinho (IC24),9
Feira-Espinho (IC24),15
Estarreja - Feira,14
Espinho (IC24)-Feiteira,8
Estarreja - Feira,21
