CO,Sublanco,Tempo Ponderado
A10,Arruda dos Vinhos - A1/A10,24.63157895
A10,A9/A10 - Arruda dos Vinhos,22.62684564
A10,A1/A10 - Benavente,27.01914894
A10,Benavente - A10/A13,26.31340206
A14,Vila Verde - A14/A17,22.30714286
A14,A14/A17 - Santa Eulália,27.90974729
A14,Ançã - Coimbra Norte (A1/A14),25.2
A14,Figueira da Foz - Vila Verde,23.44
A14,Montemor-o-Velho - EN335,22.608
A14,EN335 - Ançã,22.93743017
A14,Coimbra Norte (A1/A14) - Zombaria,30.37808219
A14,Santa Eulália - Montemor-o-Velho,30.54489796
A9,Bucelas (Zambujal) - A9/A10,27.20127796
A9,Radial Pontinha - Radial Odivelas,25.29642857
A9,Queluz - Radial da Pontinha,26.88440367
A9,Estádio Nacional (A5/A9) - Queluz,30.45103448
A9,Radial Odivelas - A8/A9,26.42264151
A9,A9/A10 - Alverca,26.56
A9,A8/A9 - Bucelas (Zambujal),24.96176471
Carcavelos,Miraflores (A5/IC17) - Linda-a-Velha,31.94793262
Carcavelos,Viaduto Duarte Pacheco - Cruz das Oliveiras,32.39192825
Carcavelos,Carcavelos - Estoril,24.35
Carcavelos,Alcabideche (A5/A16) - Alvide,32.45901639
Carcavelos,Linda-a-Velha - Estádio Nacional (A5/A9),30.86092437
Carcavelos,Oeiras - Carcavelos,30.18327974
Carcavelos,Estoril - Alcabideche (A5/A16),27.25273973
Carcavelos,Monsanto - Miraflores (A5/IC17),28.86486486
Carcavelos,Estádio Nacional (A5/A9) - Oeiras,32.06719278
Carcavelos,Alvide - Cascais,26.76198347
Carcavelos,Cruz das Oliveiras - Monsanto,33.13966746
Carregado,São João da Talha - Sta Iria da Azóia,27.00313043
Carregado,Sta Iria da Azóia - Alverca (A1/A9),29.63193277
Carregado,Carregado - Aveiras de Cima,25.95154639
Carregado,Vila Franca de Xira II - Vila Franca de Xira I,26.67010676
Carregado,Vila Franca de Xira I - PLLN,27.43043478
Carregado,Sacavém - São João da Talha,31.64444444
Carregado,Aveiras de Cima - Cartaxo,25.4473743
Carregado,A1/A10 - Carregado,32.92682927
Carregado,Alverca (A1/A9) - Vila Franca de Xira II,24.28767123
Carregado,Cartaxo - Santarém,25.24023845
Carregado,PLLN - A1/A10,23.31
Feira,Feira - Espinho (IC24),23.85743119
Feira,Estarreja - Feira,23.47058824
Feira,Feiteira - Carvalhos,24.61251863
Feira,Espinho (IC24) - Feiteira,28.84698206
Feira,Albergaria (A1/IP5) - Estarreja,29.72390892
Feira,Carvalhos - Jaca,37.56489796
Feira,Jaca - Santo Ovídio,27.478125
Leiria,Torres Novas (A1/A23) - Fátima,24.65546218
Leiria,Leiria - Pombal,24.30248276
Leiria,A1/A15 - Torres Novas (A1/A23),23.27033898
Leiria,Condeixa - Coimbra Sul,26.19503106
Leiria,Fátima - Leiria,25.01712135
Leiria,Soure - Condeixa,24.26232558
Leiria,Pombal - Soure,25.85613609
Leiria,Santarém - A1/A15,33.09230769
Mealhada,Mealhada - Aveiro Sul,23.83498146
Mealhada,Coimbra Norte (A1/A14) - Mealhada,24.1875
Mealhada,Aveiro Sul - Albergaria (A1/IP5),23.99210526
Mealhada,Coimbra Sul - Coimbra Norte (A1/A14),25.95
