Auto-Estrada,CO,Nó,Sequência,CO?,Extensão,pausa,almoco,vistoria,norte-sul,sul-norte,espera
A5,Carcavelos,Nó Viaduto Duarte Pacheco,0,0,1.6,0,0,0,15,15,1
A5,Carcavelos,Nó Cruz das Oliveiras,1,0,2.8,0,0,0,5,5,1
A5,Carcavelos,Nó de Monsanto,2,0,3.3,0,0,0,14,14,1
A5,Carcavelos,Nó de Miraflores (A5/IC17),3,0,4,0,0,0,10,10,1
A5,Carcavelos,Nó de Linda-a-Velha,4,0,9.8,0,0,0,13,13,1
A5,Carcavelos,Nó Estádio Nacional,5,0,16.8,0,0,0,28,28,1
A5,Carcavelos,Nó de Oeiras,6,0,10.4,1,1,1,9,9,1
A5,Carcavelos,Nó de Carcavelos,7,1,14.7,1,1,0,13,13,1
A5,Carcavelos,Nó do Estoril,8,0,0,1,1,0,13,13,1
A5,Carcavelos,Nó de Alcabideche,9,0,11.7,0,0,0,18,18,1
A5,Carcavelos,Nó de Alvide,10,0,8.3,0,0,0,4,4,1
A5,Carcavelos,Nó de Cascais,11,0,8.3,0,0,0,8,8,1
